Country	GWP12VA	GWP12GE	GWP12RL	GWP12CC	GDP
Jamaica	0.30	0.66	0.57	0.22	14794802081
Jordan	0.42	0.61	0.80	0.43	31015239545
Japan	0.54	0.63	0.76	0.37	5954480000000
Kazakhstan	0.45	0.53	0.61	0.39	203517000000
Kenya	0.28	0.52	0.60	0.07	50334699324
Kyrgyz Republic	0.27	0.52	0.55	0.15	6605139933
Cambodia	0.88	0.84	0.77	0.23	14054443213
Korea, Rep.	0.36	0.67	0.56	0.20	NA
Kosovo	0.26	0.72	0.68	0.10	6499938584
Kuwait	0.61	0.65	0.84	NA	174045000000
Lao PDR	0.90	0.64	0.91	0.71	9359185244
Lebanon	0.27	0.53	0.60	0.15	43205095854
Liberia	0.45	0.35	0.47	0.15	1733828405
Libya	0.35	0.38	0.98	0.32	81873662519
Sri Lanka	0.44	0.68	0.82	0.36	59393056426
Lesotho	0.38	0.30	0.67	0.23	2328196275
Lithuania	0.22	0.51	0.59	0.10	42343559196
Luxembourg	0.80	0.76	0.80	0.74	56292381076
Latvia	0.34	0.53	0.58	0.24	28372577697
Morocco	0.33	0.42	0.62	0.24	95903690326
Moldova	0.28	0.44	0.50	0.17	7284686576
Madagascar	0.35	0.38	0.68	0.19	9919780222
Maldives	NA	NA	NA	NA	2113179304
Mexico	0.31	0.62	0.56	0.37	1186460000000
Macedonia, FYR	NA	NA	NA	NA	NA
Mali	0.27	0.32	0.63	0.16	10340794110
Malta	0.53	0.52	0.66	0.43	8863076923
Myanmar	NA	0.60	0.74	NA	NA
Montenegro	0.20	0.48	0.68	0.50	4045813953
Mongolia	0.20	0.41	0.54	0.17	10321968595
Mozambique	0.49	0.49	0.61	0.27	14952946846
Mauritania	0.28	0.33	0.58	0.29	3958702640
Mauritius	0.68	0.72	0.77	0.20	11442096506
Malawi	0.42	0.56	0.67	0.12	4240492849
Malaysia	0.65	0.77	0.80	0.31	305264000000
Namibia	0.73	0.65	0.75	0.16	13037393423
Niger	0.51	0.38	0.82	0.25	6611341029
Nigeria	0.32	0.48	0.56	0.08	462979000000
Nicaragua	0.36	0.70	0.62	0.45	10644947615
Netherlands	0.83	0.73	0.73	0.67	823139000000
Norway	0.90	0.61	0.84	0.76	500030000000
Nepal	0.32	0.60	0.77	0.26	19206800719
New Zealand	0.80	0.66	0.78	0.76	171461000000
Oman	NA	0.72	NA	NA	77497269805
Pakistan	0.20	0.54	0.60	0.20	224384000000
Panama	0.47	0.60	0.64	0.22	37956200000
Peru	0.30	0.50	0.43	0.19	192628000000
Philippines	0.50	0.77	0.78	0.27	250240000000
Poland	0.57	0.52	0.65	0.32	496206000000
Puerto Rico	0.22	0.42	0.64	0.12	101081000000
Portugal	0.56	0.62	0.62	0.12	218000000000
Paraguay	0.28	0.62	0.56	0.23	24611040343
Qatar	0.64	0.71	0.90	0.92	190290000000
Romania	0.27	0.55	0.60	0.21	169396000000
Russian Federation	0.24	0.40	0.51	0.20	2017470000000
Rwanda	0.85	0.48	0.93	0.96	7219656634
Saudi Arabia	0.48	0.64	0.83	0.68	733956000000
Sudan	0.35	0.42	0.73	0.38	63152209705
Senegal	0.85	0.46	0.77	0.19	14045680427
Singapore	0.76	0.83	0.91	0.95	286908000000
Sierra Leone	0.46	0.29	0.51	0.17	3529350504
El Salvador	0.29	0.72	0.55	0.24	23813600000
Somalia	0.79	0.46	0.73	0.57	NA
Serbia	0.25	0.46	0.58	0.16	40791444603
Suriname	0.73	0.79	0.76	0.34	5013030303
Slovak Republic	0.53	0.52	0.62	0.29	92746685083
Slovenia	0.64	0.68	0.62	0.24	46262305281
Sweden	0.83	0.68	0.81	0.87	543881000000
Swaziland	0.30	0.62	0.63	0.08	4049589166
Syrian Arab Republic	0.55	0.30	0.56	0.45	NA
Chad	0.10	0.45	0.47	0.08	12887072082
Togo	0.45	0.27	0.62	0.31	3915754216
Thailand	0.50	0.81	0.81	0.13	365966000000
Tajikistan	0.67	0.59	0.81	0.53	7633049792
Turkmenistan	NA	0.72	0.91	NA	35164210526
Trinidad and Tobago	0.48	0.74	0.61	0.20	23436342520
Tunisia	0.52	0.39	0.63	0.28	45238619630
Turkey	0.41	0.59	0.69	0.47	788863000000
Taiwan, China	0.33	0.71	0.61	0.27	NA
Tanzania	0.36	0.34	0.58	0.06	28248632096
Uganda	0.27	0.41	0.54	0.09	20040545045
Ukraine	0.19	0.46	0.47	0.23	176603000000
Uruguay	0.78	0.59	0.65	0.50	50004354647
United States	0.42	0.63	0.72	0.27	16163200000000
Uzbekistan	0.62	0.75	0.81	0.65	51183443225
Venezuela, RB	0.60	0.61	0.56	0.38	NA
Vietnam	0.70	0.70	0.84	0.53	155820000000
West Bank and Gaza	0.43	0.62	0.65	0.35	11262141134
Yemen, Rep.	0.50	0.30	0.49	0.24	NA
South Africa	0.50	0.58	0.63	0.13	382338000000
Congo, Dem. Rep.	0.37	0.41	0.57	0.30	NA
Zambia	0.52	0.44	0.65	0.22	24939543374
Zimbabwe	0.24	0.50	0.60	0.22	12472416700
