Country	GWP12VA	GWP12GE	GWP12RL	GWP12CC	GDP
Afghanistan	0.21	0.52	0.55	0.23	20506795254
Angola	0.27	0.42	0.49	0.13	115342000000
Albania	0.22	0.57	0.59	0.18	12344529628
United Arab Emirates	NA	0.87	0.90	NA	372314000000
Argentina	0.37	0.55	0.54	0.24	603153000000
Armenia	0.18	0.51	0.61	0.26	9958217880
Australia	0.67	0.60	0.77	0.68	1534430000000
Austria	0.68	0.71	0.80	0.34	407575000000
Azerbaijan	0.53	0.55	0.69	0.39	68730906314
Burundi	0.83	0.45	0.74	0.32	2472384864
Belgium	0.62	0.62	0.70	0.42	498853000000
Benin	0.54	0.32	0.70	0.24	7543183759
Burkina Faso	0.52	0.39	0.74	0.31	10726305450
Bangladesh	0.62	0.68	0.75	0.36	133356000000
Bulgaria	0.22	0.48	0.57	0.25	52588115104
Bahrain	NA	0.71	0.73	0.70	30756789966
Bahamas, The	NA	0.88	NA	NA	NA
Bosnia and Herzegovina	0.22	0.43	0.64	0.11	16906005781
Belarus	0.36	0.54	0.60	0.64	63615445567
Belize	0.25	0.43	0.50	0.31	1573867300
Bolivia	0.38	0.60	0.45	0.25	27035110130
Brazil	0.26	0.49	0.57	0.37	2248780000000
Bhutan	NA	NA	NA	NA	1823692110
Botswana	0.65	0.54	0.70	0.26	14537486274
Central African Republic	0.57	0.24	0.73	0.26	2169706411
Canada	0.66	0.66	0.79	0.54	1821450000000
Switzerland	0.82	0.81	0.87	0.77	666101000000
Chile	0.29	0.58	0.60	0.33	266259000000
China	NA	0.68	0.80	NA	8229490000000
Cote d'Ivoire	0.32	0.21	0.61	0.16	27098590232
Cameroon	0.31	0.48	0.60	0.12	26472054176
Congo, Rep.	0.36	0.54	0.65	0.23	NA
Colombia	0.25	0.58	0.55	0.17	370328000000
Comoros	0.24	0.37	0.63	0.29	550476499
Costa Rica	0.49	0.72	0.61	0.18	45374788701
Cuba	0.51	0.32	0.69	NA	NA
Cyprus	0.70	0.64	0.66	0.24	22766912960
Czech Republic	0.41	0.54	0.59	0.06	206751000000
Germany	0.71	0.68	0.80	0.43	3533240000000
Djibouti	0.58	0.62	0.73	0.57	1353632942
Denmark	0.75	0.69	0.86	0.85	322277000000
Dominican Republic	0.36	0.63	0.53	0.33	60331668443
Algeria	0.34	0.63	0.76	0.32	204331000000
Ecuador	0.38	0.74	0.57	0.38	87623411000
Egypt, Arab Rep.	0.78	0.41	0.71	0.18	NA
Spain	0.62	0.69	0.65	0.25	1355730000000
Estonia	0.33	0.51	0.68	0.36	22660754204
Ethiopia	0.15	0.38	0.52	NA	43310721414
Finland	0.89	0.69	0.84	0.70	255776000000
Fiji	NA	NA	0.98	NA	3849824013
France	0.64	0.69	0.72	0.46	2686720000000
Gabon	0.18	0.23	0.55	0.30	17843815459
United Kingdom	0.69	0.70	0.78	0.57	2614950000000
Georgia	0.42	0.69	0.77	0.75	15846474596
Ghana	0.61	0.48	0.74	0.11	41740926505
Guinea	0.46	0.14	0.61	0.30	5651088170
Greece	0.49	0.52	0.64	0.08	249525000000
Guatemala	0.43	0.66	0.57	0.26	50388454861
Guyana	0.27	0.69	0.60	0.39	2851154076
Hong Kong SAR, China	0.48	0.70	0.85	0.70	NA
Honduras	0.28	0.57	0.51	0.13	18564264545
Croatia	0.41	0.58	0.64	0.26	56479515972
Haiti	0.20	0.38	0.54	0.36	7890216508
Hungary	0.41	0.50	0.62	0.22	126825000000
Indonesia	0.53	0.71	0.76	0.13	876719000000
India	0.46	0.62	0.71	0.26	1858740000000
Ireland	0.65	0.72	0.76	0.41	221966000000
Iran, Islamic Rep.	0.50	0.63	0.67	0.23	NA
Iraq	0.30	0.44	0.67	0.31	216044000000
Iceland	0.89	0.71	0.81	0.33	14182614909
Israel	0.52	0.59	0.65	0.25	257206000000
Italy	0.41	0.58	0.69	0.15	2091760000000
