Country Name	2006	2007	2008	2009	2010	2011	2012	2013
Finland	216541000000	255372000000	283753000000	251484000000	247800000000	273674000000	255776000000	267329000000
Fiji	3103099942	3405050612	3523185920	2870624636	3140508836	3646423266	3849824013	3855017107
France	2324890000000	2662980000000	2923570000000	2693670000000	2646840000000	2862680000000	2686720000000	2806430000000
Faeroe Islands	1970135199	2278229880	2412859693	2198138372				
"Micronesia, Fed. Sts."	252991200	255890800	261339600	277510900	294117200	310287500	326161000	316245700
Gabon	9545982814	11570860872	15685389827	12031268402	14569527125	18796191833	17843815459	19343506599
United Kingdom	2582820000000	2963270000000	2791860000000	2308930000000	2407930000000	2591850000000	2614950000000	2678450000000
Georgia	7761900166	10172260745	12799337248	10766836277	11638536834	14434619982	15846474596	16140047012
Ghana	20410331626	24757553102	28528014621	25978508376	32174839713	39564771637	41740926505	48137027487
Guinea	2821346684	4134173271	4515824643	4609923720	4735956476	5067360041	5651088170	6144131903
"Gambia, The"	655068112	798869804	965771304	900641059	951827285	904256028	912427787	903497026
Guinea-Bissau	591829898	695606314	864107768	825796953	847491367	1103652041	958857944	960778480
Equatorial Guinea	8081982438	10201201022	15439740345	9364826470	11582917790	15725711943	16496531233	15580563836
Greece	273265000000	318668000000	354629000000	329837000000	299598000000	288803000000	249525000000	242230000000
Grenada	698700654	758683579	825977874	771278098	771015875	778648653	799882134	835581689
Greenland	1738432116	2121759848	1739579594	1267711816				
Guatemala	30231117390	34113093454	39136507937	37733655166	41337958252	47654841113	50388454861	53796709475
Guam								
Guyana	1458449058	1740334782	1922598121	2025565089	2259288396	2576602497	2851154076	2990128821
High income	40251900000000	44234100000000	47263200000000	43978500000000	46366500000000	50266000000000	50442700000000	51091000000000
"Hong Kong SAR, China"	193536000000	211597000000	219280000000	214046000000	228638000000	248514000000	262630000000	274013000000
Honduras	10841723354	12275491273	13789720387	14587485644	15839344592	17710325578	18564264545	18550026035
Heavily indebted poor countries (HIPC)	283321000000	338985000000	407490000000	407175000000	450893000000	502249000000	538152000000	583955000000
Croatia	50436294495	60065225494	70461454280	62636688809	59643818182	62241414803	56479515972	57868674298
Haiti	4879738636	5885325590	6548530572	6584649419	6622541529	7516834160	7890216508	8459326660
Hungary	114238000000	138580000000	156579000000	129360000000	129586000000	139440000000	126825000000	133424000000
Indonesia	364571000000	432217000000	510245000000	539580000000	709191000000	845932000000	876719000000	868346000000
Isle of Man	3437450712	4075664785						
India	949117000000	1238700000000	1224100000000	1365370000000	1708460000000	1880100000000	1858740000000	1876800000000
Not classified								
Ireland	230523000000	269283000000	273732000000	233542000000	218435000000	237772000000	221966000000	232077000000
"Iran, Islamic Rep."	222881000000	286058000000	355988000000	362661000000	422568000000	528426000000	502729000000	368904000000
Iraq	65141035028	88837727881	131612000000	111661000000	138517000000	185750000000	216044000000	229327000000
Iceland	17101040182	21446741082	17599245766	12823849535	13261035517	14665793477	14182614909	15330057867
Israel	152231000000	176674000000	213921000000	206479000000	232908000000	258418000000	257206000000	290551000000
Italy	1943430000000	2203970000000	2391960000000	2186110000000	2126620000000	2278230000000	2091760000000	2149480000000
Jamaica	11903020644	12820055025	13676837630	12125023181	13230844040	14433926129	14794802081	14362262585
Jordan	15056937136	17110609939	21971835283	23818322958	26425379437	28840263380	31015239545	33678500148
Japan	4356750000000	4356350000000	4849180000000	5035140000000	5495390000000	5905630000000	5954480000000	4919560000000
Kazakhstan	81003864916	104850000000	133442000000	115309000000	148047000000	188049000000	203517000000	231876000000
Kenya	25825524821	31958195182	35895153328	37021512049	40000138831	41954989658	50334699324	55243056201
Kyrgyz Republic	2834168889	3802566171	5139957785	4690062255	4794357795	6197766119	6605139933	7226303261
Cambodia	7274424519	8639164917	10351829066	10401935532	11242266334	12829541141	14054443213	15238689686
Kiribati	104668675	123005090	135044456	127125254	150431114	172253739	174984469	168951535
St. Kitts and Nevis	636070989	684148692	734660333	708891296	692457407	728050630	731919889	765870667
"Korea, Rep."	1011800000000	1122680000000	1002220000000	901935000000	1094500000000	1202460000000	1222810000000	1304550000000
Kosovo	3918184455	4694507127	5687488209	5653860934	5830320265	6692502502	6499938584	7071959241
Kuwait	101561000000	114722000000	147402000000	105911000000	115429000000	154032000000	174045000000	175831000000
Latin America & Caribbean (developing only)	3042930000000	3609730000000	4213480000000	3949940000000	4897060000000	5488250000000	5472450000000	5657370000000
Lao PDR	3452895836	4222945530	5443930125	5832882922	7181441152	8254088067	9359185244	11242526454
Lebanon	21796351575	24577114428	28829850746	35139635158	38009950249	40078938640	43205095854	44352418120
Liberia	604028582	739026892	850040459	1155146230	1292696476	1537753885	1733828405	1950960138
Libya	56484375000	71803278689	93167701863	62360446571	74755288917	34699395524	81873662519	74199528672
St. Lucia	1066944389	1143476980	1171371519	1176607815	1244297407	1289531852	1302666704	1335764111
Latin America & Caribbean (all income levels)	3351640000000	3949350000000	4579900000000	4300980000000	5308620000000	5949150000000	5952170000000	6158280000000
Least developed countries: UN classification	370797000000	455653000000	560179000000	554362000000	621227000000	699703000000	742272000000	804442000000
Low income	280350000000	331185000000	390783000000	417888000000	455387000000	506291000000	561067000000	612710000000
Liechtenstein	3988775844	4602346923	4929414915	4826167676				
Sri Lanka	28267410543	32351184234	40715240469	42067974595	49567521670	59178013928	59393056426	67182015336
Lower middle income	2429260000000	2999720000000	3337130000000	3416050000000	4307480000000	4870890000000	5043300000000	5234090000000
Low & middle income	10631500000000	13100500000000	15608900000000	15577600000000	18876200000000	21906400000000	23110500000000	24547700000000
Lesotho	1428842600	1597484736	1630667593	1708772782	2175685681	2487352968	2328196275	2334989648
Lithuania	30246361657	39325985931	47438363056	37050081723	36709511568	43083067994	42343559196	45931968474
Luxembourg	41779066643	49207986176	54963951912	50141325205	52143650383	58956127431	56292381076	60130847624
Latvia	19935046397	28765687042	33669367720	25875781250	24009680460	28480338368	28372577697	30956691628
"Macao SAR, China"	14568709574	18054684854	20731022857	21313263933	28359706123	36634742799	42981497744	51753094764
St. Martin (French part)								
Morocco	65637107776	75226318359	88882967742	90908402631	90770671432	99211339029	95903690326	103836000000
Monaco	4663488363	5974371696	6919241412	5557579883	5350993377	6074506533		
Moldova	3408454198	4402495921	6054806101	5439422031	5811604052	7016162818	7284686576	7969618966
Madagascar	5515884434	7342923620	9413002737	8550363829	8729936136	9892702358	9919780222	10613494031
Maldives	1303375806	1541978559	1891633531	1984639641	2134104884	2162990126	2113179304	2299843167
Middle East & North Africa (all income levels)	1739780000000	2056650000000	2595220000000	2310150000000	2689020000000	3209070000000	3440300000000	3442350000000
Mexico	966736000000	1043390000000	1099070000000	895313000000	1051630000000	1170090000000	1186460000000	1260910000000
Marshall Islands	143615000	150041700	152785100	152116100	163917000	172956700	184358700	190914600
Middle income	10349000000000	12765100000000	15212600000000	15157400000000	18412200000000	21387500000000	22539200000000	23926000000000
"Macedonia, FYR"	6560546900	8159825620	9834034351	9313573965	9338674078	10395222334	9576482628	10195404131
Mali	6122644015	7145394015	8737687353	8964480570	9422267260	10647545670	10340794110	10942727310
Malta	6390123590	7513834700	8554293727	8099400961	8163841060	9302057270	8863076923	9642326075
Myanmar								
Middle East & North Africa (developing only)	763984000000	940384000000	1188250000000	1141550000000	1313800000000	1503540000000	1596370000000	1495670000000
Montenegro	2696020575	3673382212	4538345345	4158135026	4114881347	4501753898	4045813953	4416083090
Mongolia	3414053251	4234894168	5623236708	4583834427	6200357070	8761426371	10321968595	11516409581
Northern Mariana Islands								
Mozambique	7095910827	9192939074	11026247458	10726631100	10165353591	13244880035	14952946846	15630302814
Mauritania	2699181755	2837533270	3585284792	3027020496	3526947609	4136083638	3958702640	4158182904
Mauritius	6731536244	7792063567	9641077098	8834661043	9718233911	11252405860	11442096506	11929250814
Malawi	3116789658	3647817219	4276769712	5030639934	5398616985	5627898037	4240492849	3705386790
Malaysia	162692000000	193553000000	230989000000	202251000000	247534000000	289548000000	305264000000	313159000000
North America	15172100000000	15941400000000	16267300000000	15795300000000	16584200000000	17302100000000	17990100000000	18600500000000
Namibia	7978676470	8740923998	8486515516	8875960840	11281996426	12412389467	13037393423	13113069777
New Caledonia								
Niger	3646727993	4291363547	5403364454	5397121962	5718589550	6409169698	6611341029	7407418428
Nigeria	145430000000	166451000000	208065000000	169481000000	369062000000	411744000000	462979000000	521803000000
Nicaragua	6786294616	7458103363	8491388728	8380731881	8938209651	9898576241	10644947615	11255608410
Netherlands	719376000000	833148000000	931328000000	858034000000	836390000000	893757000000	823139000000	853539000000
High income: nonOECD	2893990000000	3447000000000	4156420000000	3404020000000	4024580000000	4863920000000	5161200000000	5368740000000
Norway	340042000000	393479000000	453885000000	378849000000	420946000000	490807000000	500030000000	512580000000
Nepal	9043715356	10325618017	12545438605	12899651884	15994094607	18850351853	19206800719	19294348174
New Zealand	110205000000	135295000000	130459000000	118953000000	143467000000	163841000000	171461000000	185788000000
High income: OECD	37363500000000	40796300000000	43124100000000	40582600000000	42359000000000	45430400000000	45315900000000	45760500000000
OECD members	38975400000000	42625400000000	45110100000000	42221800000000	44271400000000	47514700000000	47418100000000	47976900000000
Oman	37215865059	42085305931	60905332090	48388296879	58641352878	69521977153	77497269805	79655917417
Other small states	56886637286	66347823554	79679948754	68488479129	82018617197	96778769949	95816021084	98229548568
Pakistan	137264000000	152386000000	170078000000	167875000000	177166000000	213587000000	224384000000	232287000000
Panama	17137000000	21121900000	24884000000	25925100000	28814100000	33270500000	37956200000	42648100000
Peru	87985689388	102172000000	121572000000	121200000000	148523000000	170564000000	192628000000	202350000000
Philippines	122211000000	149360000000	173603000000	168334000000	199589000000	224143000000	250240000000	272067000000
Palau	208666100	211558600	213354500	198202400	197558700	217377500	232478600	247043400
Papua New Guinea	5598700444	6329292929	8010370370	7914594203	9480047959	12393604089	15653921367	15289374025
Poland	343339000000	428949000000	530185000000	436476000000	476688000000	524363000000	496206000000	525866000000
Puerto Rico	87276164365	89524131617	93639316000	96385638000	98381268000	100352000000	101081000000	103135000000
"Korea, Dem. Rep."								
Portugal	208556000000	240157000000	262017000000	243731000000	238303000000	244895000000	218000000000	227324000000
Paraguay	10662013273	13794909537	18504128632	15929903100	20030529733	25071193102	24611040343	29009411738
Pacific island small states	5534256409	6067244010	6523272047	5741401930	6373020822	7379428011	7852675901	8009303951
French Polynesia								
Qatar	60882141103	79711810890	115270000000	97798348830	125122000000	169805000000	190290000000	203235000000
Romania	122696000000	170617000000	204339000000	164344000000	164792000000	182611000000	169396000000	189638000000
Russian Federation	989931000000	1299710000000	1660840000000	1222640000000	1524920000000	1904790000000	2017470000000	2096780000000
Rwanda	3110327823	3775447706	4796573943	5308990209	5698548923	6406727020	7219656634	7521261791
South Asia	1204770000000	1525960000000	1552410000000	1706430000000	2086120000000	2322210000000	2319530000000	2369940000000
Saudi Arabia	376900000000	415909000000	519797000000	429098000000	526811000000	669507000000	733956000000	748450000000
Sudan	35821858724	45898948554	54527549913	53149439401	65632081240	67320779804	63152209705	66565889417
