Country	GWP11VA	GWP11GE	GWP11RL	GWP11CC	GDP
Afghanistan	0.19	0.41	0.49	0.22	17870159082
Angola	0.54	0.50	0.60	0.29	104116000000
Albania	0.24	0.56	0.63	0.14	12890866743
United Arab Emirates	NA	0.86	0.90	NA	347454000000
Argentina	0.53	0.62	0.59	0.36	557727000000
Armenia	0.13	0.46	0.58	0.25	10142342770
Australia	0.68	0.59	0.79	0.69	1388070000000
Austria	0.67	0.72	0.81	0.43	429100000000
Azerbaijan	0.56	0.52	0.71	0.33	65951627200
Burundi	0.83	0.45	0.74	0.32	2355652064
Belgium	0.59	0.62	0.70	0.45	528238000000
Benin	0.58	0.34	0.67	0.30	7289779658
Burkina Faso	0.39	0.37	0.74	0.26	10395757480
Bangladesh	0.62	0.68	0.75	0.42	128638000000
Bulgaria	0.17	0.40	0.57	0.23	55765057234
Bahrain	NA	0.65	0.73	0.70	29044378132
Bahamas, The	NA	0.88	NA	NA	NA
Bosnia and Herzegovina	0.41	0.51	0.66	0.12	18318439121
Belarus	0.36	0.56	0.59	0.60	59734593905
Belize	0.25	0.43	0.50	0.31	1487005600
Bolivia	0.32	0.59	0.41	0.35	23948541156
Brazil	0.28	0.55	0.60	0.40	2476690000000
Bhutan	NA	NA	NA	NA	1820207626
Botswana	0.77	0.55	0.73	0.21	15365212953
Central African Republic	0.44	0.28	0.70	0.27	2195599491
Canada	0.73	0.69	0.80	0.60	1778630000000
Switzerland	0.76	0.81	0.84	0.75	696279000000
Chile	0.58	0.57	0.59	0.45	251162000000
China	NA	0.67	0.72	NA	7321890000000
Cote d'Ivoire	0.32	0.21	0.61	0.16	25381617036
Cameroon	0.46	0.42	0.66	0.13	26587310734
Congo, Rep.	0.31	0.45	0.61	NA	NA
Colombia	0.37	0.63	0.54	0.29	335415000000
Comoros	0.23	0.28	0.59	0.22	566024676
Costa Rica	0.54	0.68	0.52	0.19	41237296807
Cuba	0.51	0.32	0.69	NA	68233900000
Cyprus	0.67	0.60	0.68	0.31	24851264943
Czech Republic	0.39	0.57	0.60	0.11	227307000000
Germany	0.52	0.70	0.78	0.44	3752110000000
Djibouti	0.58	0.62	0.73	0.57	1239144502
Denmark	0.74	0.66	0.84	0.84	341498000000
Dominican Republic	0.33	0.61	0.51	0.28	58145330250
