Country	GWP11VA	GWP11GE	GWP11RL	GWP11CC	GDP
Algeria	0.43	0.63	0.71	0.42	199071000000
Ecuador	0.40	0.72	0.57	0.36	79276664000
Egypt, Arab Rep.	0.58	0.43	0.70	0.16	NA
Spain	0.61	0.65	0.68	0.23	1494600000000
Estonia	0.41	0.52	0.66	0.44	22803433933
Ethiopia	0.15	0.38	0.50	0.16	31952763089
Finland	0.84	0.71	0.83	0.72	273674000000
Fiji	NA	NA	0.98	NA	3646423266
France	0.74	0.69	0.73	0.42	2862680000000
Gabon	NA	NA	NA	NA	18796191833
United Kingdom	0.59	0.69	0.77	0.60	2591850000000
Georgia	0.43	0.72	0.78	0.73	14434619982
Ghana	0.76	0.48	0.74	0.18	39564771637
Guinea	0.70	0.21	0.65	0.40	5067360041
Greece	0.39	0.51	0.62	0.09	288803000000
Guatemala	0.40	0.62	0.53	0.20	47654841113
Guyana	0.29	0.69	0.60	0.39	2576602497
Hong Kong SAR, China	0.67	0.75	0.87	0.85	NA
Honduras	0.24	0.59	0.49	0.16	17710325578
Croatia	0.38	0.56	0.63	0.13	62241414803
Haiti	0.10	0.36	0.57	0.43	7516834160
Hungary	0.50	0.50	0.67	0.19	139440000000
Indonesia	0.54	0.64	0.80	0.10	845932000000
India	0.50	0.69	0.79	0.20	1880100000000
Ireland	0.72	0.71	0.79	0.47	237772000000
Iran, Islamic Rep.	0.50	0.63	0.67	0.23	NA
Iraq	0.24	0.33	0.64	0.29	185750000000
Iceland	0.84	0.72	0.75	0.42	14665793477
Israel	0.50	0.60	0.67	0.13	258418000000
Italy	0.40	0.51	0.72	0.15	2278230000000
Jamaica	0.15	0.63	0.57	0.13	14433926129
Jordan	0.57	0.63	0.81	0.43	28840263380
Japan	0.64	0.65	0.77	0.33	5905630000000
Kazakhstan	0.54	0.47	0.63	0.45	188049000000
Kenya	0.27	0.44	0.57	0.04	41954989658
Kyrgyz Republic	0.22	0.49	0.55	0.13	6197766119
Cambodia	0.90	0.84	0.76	0.36	12829541141
Korea, Rep.	0.46	0.68	0.59	0.25	NA
Kosovo	0.38	0.62	0.73	0.09	6692502502
Kuwait	0.61	0.60	0.84	NA	154032000000
Lao PDR	0.90	0.66	0.92	0.71	8254088067
Lebanon	0.22	0.56	0.61	0.08	40078938640
Liberia	0.43	0.25	0.53	0.17	1537753885
Libya	NA	0.52	0.98	NA	34699395524
Sri Lanka	0.45	0.67	0.80	0.42	59178013928
Lesotho	NA	NA	NA	NA	2487352968
Lithuania	0.23	0.48	0.60	0.10	43083067994
Luxembourg	0.79	0.78	0.83	0.75	58956127431
Latvia	0.26	0.51	0.55	0.16	28480338368
Morocco	0.19	0.39	0.68	0.11	99211339029
Moldova	0.31	0.42	0.52	0.19	7016162818
Madagascar	0.41	0.50	0.70	0.10	9892702358
Maldives	NA	NA	NA	NA	2162990126
Mexico	0.27	0.61	0.50	0.33	1170090000000
Macedonia, FYR	NA	NA	NA	NA	NA
Mali	0.58	0.26	0.80	0.20	10647545670
Malta	0.54	0.48	0.67	0.39	9302057270
Myanmar	NA	0.75	0.95	NA	NA
Montenegro	0.43	0.49	0.69	0.55	4501753898
Mongolia	0.12	0.41	0.54	0.22	8761426371
Mozambique	0.49	0.49	0.61	0.27	13244880035
Mauritania	0.30	0.39	0.59	0.24	4136083638
Mauritius	0.68	0.66	0.77	0.20	11252405860
Malawi	0.80	0.62	0.74	0.35	5627898037
Malaysia	0.62	0.78	0.84	0.34	289548000000
Namibia	0.73	0.65	0.75	0.16	12412389467
Niger	0.65	0.39	0.83	0.51	6409169698
Nigeria	0.51	0.45	0.63	0.06	411744000000
Nicaragua	0.32	0.72	0.57	0.33	9898576241
Netherlands	0.84	0.72	0.76	0.75	893757000000
Norway	0.70	0.56	0.84	0.67	490807000000
Nepal	0.29	0.63	0.71	0.17	18850351853
New Zealand	0.76	0.69	0.77	0.79	163841000000
Oman	NA	0.72	NA	NA	69521977153
Pakistan	0.19	0.59	0.59	0.20	213587000000
Panama	0.55	0.63	0.60	0.24	33270500000
Peru	0.28	0.48	0.41	0.14	170564000000
Philippines	0.58	0.73	0.75	0.28	224143000000
Poland	0.56	0.50	0.66	0.32	524363000000
Puerto Rico	0.22	0.42	0.64	0.12	100352000000
Portugal	0.60	0.70	0.62	0.15	244895000000
Paraguay	0.33	0.55	0.50	0.26	25071193102
Qatar	0.64	0.62	0.91	0.92	169805000000
Romania	0.18	0.51	0.57	0.13	182611000000
Russian Federation	0.22	0.42	0.51	0.18	1904790000000
Rwanda	0.85	0.54	0.89	0.67	6406727020
Saudi Arabia	0.48	0.60	0.83	0.68	669507000000
Sudan	0.35	0.45	0.72	0.38	67320779804
Senegal	0.37	0.41	0.71	0.12	14440676498
Singapore	0.76	0.83	0.91	0.95	274065000000
Sierra Leone	0.46	0.29	0.51	0.17	2925391430
El Salvador	0.39	0.64	0.53	0.35	23139000000
Somalia	0.79	0.46	0.73	0.57	NA
Serbia	0.57	0.51	0.61	0.18	46462547041
Suriname	NA	NA	NA	NA	4423194614
Slovak Republic	0.51	0.52	0.63	0.22	97525386433
Slovenia	0.69	0.62	0.62	0.23	51248860578
Sweden	0.80	0.66	0.77	0.87	563110000000
Swaziland	NA	NA	NA	NA	4145772237
Syrian Arab Republic	0.55	0.46	0.60	0.47	NA
Chad	0.20	0.48	0.46	0.15	12156380062
Togo	0.45	0.27	0.62	0.31	3756023048
Thailand	0.50	0.85	0.77	0.16	345672000000
Tajikistan	0.63	0.64	0.80	0.58	6522732203
Turkmenistan	NA	NA	NA	NA	29233333333
Trinidad and Tobago	0.22	0.66	0.44	0.08	23676348287
Tunisia	0.41	0.44	0.63	0.15	45950845291
Turkey	0.50	0.56	0.70	0.49	774754000000
Taiwan, China	0.29	0.67	0.59	0.37	NA
Tanzania	0.47	0.43	0.67	0.11	23874165024
Uganda	0.36	0.48	0.61	0.10	15493320082
Ukraine	0.19	0.44	0.50	0.15	163422000000
Uruguay	0.80	0.65	0.65	0.70	47236710628
United States	0.48	0.64	0.76	0.28	15517900000000
Uzbekistan	0.62	0.79	0.81	0.65	45324319955
Venezuela, RB	0.52	0.65	0.61	0.41	NA
Vietnam	0.63	0.67	0.80	0.68	135539000000
West Bank and Gaza	0.41	0.66	0.66	0.34	10465400000
Yemen, Rep.	0.29	0.32	0.53	0.30	NA
South Africa	0.71	0.61	0.70	0.13	403894000000
Congo, Dem. Rep.	0.32	0.31	0.52	0.32	NA
Zambia	0.24	0.57	0.62	0.09	23731894786
Zimbabwe	0.29	0.49	0.60	0.19	10956226600
