Country	GWP06VA	GWP06GE	GWP06RL	GWP06CC	GDP
Ghana	0.61	0.64	0.69	0.28	20410331626
Guinea	NA	NA	NA	NA	2821346684
Greece	0.63	0.50	0.62	0.60	273265000000
Guatemala	0.38	0.69	0.56	0.30	30231117390
Guyana	NA	NA	NA	NA	1458449058
Hong Kong SAR, China	0.65	0.72	0.89	0.78	NA
Honduras	0.36	0.63	0.56	0.23	10841723354
Croatia	0.37	0.62	0.62	0.23	50436294495
Haiti	0.31	0.36	0.54	0.30	4879738636
Hungary	0.45	0.47	0.65	0.27	114238000000
Indonesia	0.45	0.54	0.74	0.16	364571000000
India	0.40	0.67	0.71	0.29	949117000000
Ireland	0.76	0.67	0.77	0.58	230523000000
Iran, Islamic Rep.	0.47	0.41	0.61	0.39	NA
Iraq	NA	NA	NA	NA	65141035028
Iceland	NA	NA	NA	NA	17101040182
Israel	0.43	0.61	0.66	0.19	152231000000
Italy	0.46	0.54	0.63	0.24	1943430000000
Jamaica	0.15	0.61	0.57	0.13	11903020644
Jordan	0.53	0.69	0.88	0.52	15056937136
Japan	0.53	0.69	0.74	0.41	4356750000000
Kazakhstan	0.41	0.58	0.56	0.34	81003864916
Kenya	0.63	0.55	0.57	0.13	25825524821
Kyrgyz Republic	0.20	0.43	0.51	0.16	2834168889
Cambodia	0.69	0.48	0.65	0.28	7274424519
Korea, Rep.	0.43	0.65	0.59	0.32	NA
Kosovo	0.44	0.47	0.67	0.19	3918184455
Kuwait	0.61	0.83	0.84	NA	101561000000
Lao PDR	0.88	0.71	0.80	NA	3452895836
Lebanon	0.41	0.55	0.58	0.10	21796351575
Liberia	NA	NA	NA	NA	604028582
Libya	NA	NA	NA	NA	56484375000
Sri Lanka	0.22	0.66	0.78	0.24	28267410543
Lesotho	NA	NA	NA	NA	1428842600
Lithuania	0.26	0.55	0.52	0.08	30246361657
Luxembourg	NA	NA	NA	NA	41779066643
Latvia	0.25	0.56	0.56	0.20	19935046397
Morocco	0.25	0.37	0.74	0.16	65637107776
Moldova	0.29	0.45	0.53	0.21	3408454198
Madagascar	0.50	0.43	0.73	0.46	5515884434
Maldives	NA	NA	NA	NA	1303375806
Mexico	0.31	0.64	0.54	0.25	966736000000
Macedonia, FYR	0.31	0.53	0.60	0.26	NA
Mali	0.40	0.33	0.71	0.30	6122644015
Malta	NA	NA	NA	NA	6390123590
Myanmar	NA	0.74	0.95	NA	NA
Montenegro	0.42	0.44	0.63	0.54	2696020575
Mongolia	NA	NA	NA	NA	3414053251
Mozambique	0.43	0.58	0.63	0.28	7095910827
Mauritania	0.47	0.35	0.69	0.51	2699181755
Mauritius	NA	NA	NA	NA	6731536244
Malawi	0.42	0.62	0.71	0.34	3116789658
Malaysia	0.55	0.70	0.73	0.39	162692000000
Namibia	NA	NA	NA	NA	7978676470
Niger	0.55	0.42	0.74	0.31	3646727993
Nigeria	0.11	0.43	0.54	0.14	145430000000
Nicaragua	0.27	0.66	0.56	0.21	6786294616
Netherlands	0.80	0.68	0.70	0.59	719376000000
Norway	0.83	0.67	0.86	0.77	340042000000
Nepal	0.41	0.78	0.63	0.28	9043715356
New Zealand	0.72	0.66	0.79	0.80	110205000000
Oman	NA	NA	NA	NA	37215865059
Pakistan	0.38	0.59	0.64	0.29	137264000000
Panama	0.43	0.69	0.60	0.15	17137000000
Peru	0.38	0.47	0.44	0.11	87985689388
Philippines	0.27	0.71	0.73	0.19	122211000000
Poland	0.32	0.47	0.51	0.11	343339000000
Puerto Rico	0.22	0.42	0.64	0.12	87276164365
Portugal	0.59	0.69	0.67	0.38	208556000000
Paraguay	0.22	0.60	0.56	0.25	10662013273
Qatar	NA	NA	NA	NA	60882141103
Romania	0.45	0.47	0.57	0.23	122696000000
Russian Federation	0.17	0.46	0.45	0.20	989931000000
Rwanda	0.93	0.66	0.87	0.78	3110327823
Saudi Arabia	0.58	0.73	0.91	NA	376900000000
Sudan	NA	NA	NA	NA	35821858724
Senegal	0.41	0.41	0.74	0.35	9358710763
Singapore	0.72	0.85	0.89	0.85	147794000000
Sierra Leone	0.37	0.39	0.60	0.19	1887429110
El Salvador	0.24	0.78	0.56	0.36	18550700000
Somalia	NA	NA	NA	NA	NA
Serbia	0.48	0.52	0.61	0.31	30607991862
Suriname	NA	NA	NA	NA	2626093294
Slovak Republic	0.44	0.41	0.56	0.16	70450243382
Slovenia	0.73	0.62	0.64	0.56	39585411480
Sweden	0.66	0.70	0.70	0.73	420029000000
Swaziland	NA	NA	NA	NA	2947922183
Syrian Arab Republic	NA	NA	NA	NA	33332844575
Chad	0.09	0.22	0.39	0.09	7422102520
Togo	0.21	0.35	0.55	0.29	2202809211
Thailand	0.34	0.82	0.79	0.15	207089000000
Tajikistan	0.36	0.48	0.67	0.56	2830236054
Turkmenistan	NA	NA	NA	NA	10277598152
Trinidad and Tobago	0.27	0.58	0.47	0.18	18460889363
Tunisia	NA	NA	NA	NA	34378437265
Turkey	0.48	0.48	0.69	0.35	530900000000
Taiwan, China	0.17	0.65	0.57	0.20	NA
Tanzania	0.64	0.41	0.74	0.49	14331231239
Uganda	0.42	0.40	0.69	0.31	9942597753
Ukraine	0.18	0.47	0.44	0.22	107753000000
Uruguay	0.79	0.62	0.60	0.68	19579479148
United States	0.50	0.63	0.76	0.40	13855900000000
Uzbekistan	NA	NA	0.96	0.65	17030896203
Venezuela, RB	0.44	0.56	0.51	0.43	NA
Vietnam	0.67	0.68	0.85	0.71	66371664817
West Bank and Gaza	0.36	0.48	0.56	0.23	4914728157
Yemen, Rep.	0.35	0.49	0.55	0.27	NA
South Africa	0.49	0.52	0.65	0.29	261007000000
Congo, Dem. Rep.	NA	NA	NA	NA	NA
Zambia	0.24	0.57	0.63	0.24	12756957884
Zimbabwe	0.20	0.45	0.57	0.15	5443896500
