Country	GWP06VA	GWP06GE	GWP06RL	GWP06CC	GDP
Afghanistan	0.54	0.56	0.62	0.30	7057597614
Angola	0.37	0.41	0.59	0.31	41789493192
Albania	0.24	0.49	0.59	0.30	9132558097
United Arab Emirates	NA	0.77	0.90	NA	222106000000
Argentina	0.36	0.50	0.52	0.24	264490000000
Armenia	0.10	0.59	0.59	0.21	6384457744
Australia	0.65	0.63	0.76	0.68	747206000000
Austria	0.70	0.74	0.82	0.64	334292000000
Azerbaijan	0.36	0.49	0.61	0.44	20982270733
Burundi	0.66	0.39	0.63	0.40	1273180655
Belgium	0.64	0.73	0.72	0.54	410678000000
Benin	0.42	0.32	0.58	0.47	4705087452
Burkina Faso	0.22	0.30	0.61	0.32	5844669738
Bangladesh	0.44	0.67	0.71	0.30	71819088743
Bulgaria	0.36	0.40	0.57	0.19	33649638299
Bahrain	NA	NA	NA	NA	18505545360
Bahamas, The	NA	NA	NA	NA	NA
Bosnia and Herzegovina	0.39	0.52	0.65	0.18	12550175101
Belarus	0.46	0.60	0.62	0.62	36961918859
Belize	NA	NA	NA	NA	1217442150
Bolivia	0.38	0.62	0.46	0.35	11451845341
Brazil	0.19	0.53	0.53	0.28	1088920000000
Bhutan	NA	NA	NA	NA	897672086
Botswana	0.82	0.57	0.75	0.36	10126990496
Central African Republic	NA	NA	NA	NA	1473721521
Canada	0.60	0.65	0.79	0.43	1310800000000
Switzerland	0.79	0.80	0.81	0.73	429181000000
Chile	0.59	0.66	0.55	0.47	154671000000
China	NA	NA	NA	NA	2712950000000
Cote d'Ivoire	NA	NA	NA	NA	17800887469
Cameroon	0.24	0.47	0.59	0.12	17953066391
Congo, Rep.	NA	NA	NA	NA	NA
Colombia	0.30	0.68	0.59	0.27	162774000000
Comoros	NA	NA	NA	NA	406111893
Costa Rica	0.48	0.64	0.60	0.25	22526464409
Cuba	0.51	0.32	0.69	NA	52742100000
Cyprus	0.77	0.54	0.76	0.52	18435765910
Czech Republic	0.60	0.50	0.50	0.29	155213000000
Germany	0.53	0.65	0.79	0.36	2998470000000
Djibouti	NA	NA	NA	NA	768873684
Denmark	0.77	0.75	0.88	0.83	282962000000
Dominican Republic	0.34	0.61	0.58	0.38	35965041793
Algeria	NA	0.50	0.81	NA	117027000000
Ecuador	0.17	0.65	0.45	0.08	46802044000
Egypt, Arab Rep.	NA	0.52	NA	NA	NA
Spain	0.64	0.58	0.64	0.41	1264490000000
Estonia	0.31	0.43	0.61	0.49	16958044846
Ethiopia	0.13	0.29	0.46	0.36	15280701944
Finland	0.94	0.70	0.87	0.92	216541000000
Fiji	NA	NA	NA	NA	3103099942
France	0.60	0.70	0.70	0.36	2324890000000
Gabon	NA	NA	NA	NA	9545982814
United Kingdom	0.63	0.65	0.72	0.68	2582820000000
Georgia	0.21	0.54	0.63	0.44	7761900166
