Country	GWP10VA	GWP10GE	GWP10RL	GWP10CC	GDP
Sri Lanka	0.43	0.66	0.81	0.41	49567521670
Lesotho	NA	NA	NA	NA	2175685681
Lithuania	0.24	0.48	0.56	0.10	36709511568
Luxembourg	0.75	0.77	0.83	0.71	52143650383
Latvia	0.28	0.50	0.54	0.28	24009680460
Morocco	0.35	0.42	0.72	0.14	90770671432
Moldova	0.22	0.42	0.52	0.23	5811604052
Madagascar	0.56	0.52	0.77	0.26	8729936136
Maldives	NA	NA	NA	NA	2134104884
Mexico	0.26	0.58	0.52	0.32	1051630000000
Macedonia, FYR	0.32	0.55	0.59	0.26	NA
Mali	0.58	0.26	0.80	0.20	9422267260
Malta	0.43	0.52	0.65	0.36	8163841060
Myanmar	NA	0.75	0.95	NA	NA
Montenegro	0.43	0.61	0.68	0.50	4114881347
Mongolia	0.12	0.42	0.54	0.16	6200357070
Mozambique	0.40	0.63	0.63	0.17	10165353591
Mauritania	0.36	0.34	0.65	0.28	3526947609
Mauritius	NA	NA	NA	NA	9718233911
Malawi	0.80	0.63	0.74	0.35	5398616985
Malaysia	0.59	0.79	0.78	0.33	247534000000
Namibia	0.73	0.65	0.75	0.16	11281996426
Niger	0.65	0.34	0.83	0.51	5718589550
Nigeria	0.12	0.50	0.59	0.06	369062000000
Nicaragua	0.29	0.66	0.54	0.29	8938209651
Netherlands	0.81	0.76	0.76	0.69	836390000000
Norway	0.70	0.56	0.84	0.67	420946000000
Nepal	0.32	0.61	0.69	0.26	15994094607
New Zealand	0.76	0.69	0.74	0.76	143467000000
Oman	NA	NA	NA	NA	58641352878
Pakistan	0.23	0.50	0.58	0.27	177166000000
Panama	0.63	0.66	0.59	0.18	28814100000
Peru	0.28	0.50	0.41	0.14	148523000000
Philippines	0.45	0.77	0.73	0.21	199589000000
Poland	0.62	0.52	0.69	0.32	476688000000
Puerto Rico	0.22	0.42	0.64	0.12	98381268000
Portugal	0.55	0.66	0.65	0.20	238303000000
Paraguay	0.33	0.56	0.50	0.26	20030529733
Qatar	0.64	0.61	0.91	0.92	125122000000
Romania	0.16	0.52	0.55	0.10	164792000000
Russian Federation	0.24	0.45	0.53	0.24	1524920000000
Rwanda	0.85	0.53	0.89	0.67	5698548923
Saudi Arabia	0.48	0.64	0.83	0.68	526811000000
Sudan	0.35	0.53	0.74	0.38	65632081240
Senegal	0.27	0.38	0.72	0.16	12932427724
Singapore	0.87	0.90	0.95	0.99	236420000000
Sierra Leone	0.50	0.27	0.54	0.14	2578159496
El Salvador	0.46	0.70	0.54	0.43	21418300000
Somalia	0.81	0.48	0.72	0.41	NA
Serbia	0.57	0.55	0.61	0.19	39368633038
Suriname	NA	NA	NA	NA	4368398048
Slovak Republic	0.52	0.49	0.57	0.24	89011919205
Slovenia	0.69	0.62	0.66	0.32	47972988742
Sweden	0.65	0.67	0.78	0.85	488378000000
Swaziland	NA	NA	NA	NA	3891563478
Syrian Arab Republic	0.55	0.63	0.59	0.54	NA
Chad	0.22	0.39	0.46	0.14	10657705072
Togo	0.11	0.17	0.46	0.25	3172945506
Thailand	0.48	0.81	0.77	0.18	318908000000
Tajikistan	0.54	0.59	0.79	0.64	5642178580
Turkmenistan	NA	NA	NA	NA	22148070175
Trinidad and Tobago	0.22	0.62	0.44	0.08	20758191858
Tunisia	0.81	0.58	0.84	0.47	44426016487
Turkey	0.37	0.66	0.75	0.38	731168000000
Taiwan, China	0.22	0.66	0.56	0.29	NA
Tanzania	0.51	0.34	0.67	0.11	22915004589
Uganda	0.32	0.44	0.64	0.12	16030996179
Ukraine	0.21	0.39	0.47	0.22	136419000000
Uruguay	0.80	0.69	0.65	0.70	38881102100
United States	0.44	0.62	0.76	0.25	14964400000000
Uzbekistan	0.62	0.75	0.81	0.65	39332770929
Venezuela, RB	0.52	0.63	0.61	0.41	NA
Vietnam	0.68	0.68	0.87	0.60	115932000000
West Bank and Gaza	0.43	0.61	0.64	0.37	8913100000
Yemen, Rep.	0.35	0.42	0.58	0.23	NA
South Africa	0.69	0.51	0.74	0.21	365208000000
Congo, Dem. Rep.	0.48	0.16	0.62	0.22	NA
Zambia	0.24	0.50	0.65	0.08	20265396326
Zimbabwe	0.19	0.40	0.61	0.21	9456808200
