Country	GWP10VA	GWP10GE	GWP10RL	GWP10CC	GDP
Afghanistan	0.27	0.47	0.53	0.23	15936784437
Angola	0.54	0.56	0.57	0.29	82470894868
Albania	0.24	0.56	0.58	0.31	11926957255
United Arab Emirates	NA	0.82	0.91	NA	286049000000
Argentina	0.33	0.59	0.52	0.21	462704000000
Armenia	0.14	0.51	0.60	0.30	9260287416
Australia	0.69	0.65	0.79	0.68	1141270000000
Austria	0.61	0.77	0.80	0.58	389656000000
Azerbaijan	0.47	0.52	0.72	0.25	52902703376
Burundi	0.66	0.52	0.73	0.32	2026864414
Belgium	0.50	0.65	0.70	0.45	484404000000
Benin	0.42	0.34	0.63	0.37	6561782313
Burkina Faso	0.39	0.33	0.74	0.26	9209288383
Bangladesh	0.58	0.72	0.74	0.35	115279000000
Bulgaria	0.21	0.37	0.51	0.22	48669060512
Bahrain	NA	0.72	0.78	0.70	25713544825
Bahamas, The	NA	0.88	NA	NA	NA
Bosnia and Herzegovina	0.41	0.53	0.65	0.14	16847493059
Belarus	0.36	0.59	0.63	0.57	55220932614
Belize	0.25	0.43	0.50	0.31	1397113450
Bolivia	0.32	0.60	0.41	0.35	19649631308
Brazil	0.28	0.56	0.60	0.40	2143070000000
Bhutan	NA	NA	NA	NA	1585396256
Botswana	0.93	0.50	0.76	0.31	13746712711
Central African Republic	0.44	0.26	0.70	0.27	1986014759
Canada	0.67	0.66	0.80	0.59	1614070000000
Switzerland	0.76	0.81	0.84	0.75	581209000000
Chile	0.58	0.60	0.59	0.45	217502000000
China	NA	0.68	0.77	NA	5930500000000
Cote d'Ivoire	0.32	0.21	0.61	0.16	24884503951
Cameroon	0.26	0.46	0.61	0.07	23622482955
Congo, Rep.	0.18	0.40	0.55	NA	NA
Colombia	0.37	0.64	0.54	0.29	287018000000
Comoros	0.21	0.34	0.59	0.22	516962950
Costa Rica	0.63	0.73	0.58	0.34	36298327670
Cuba	0.51	0.32	0.69	NA	64328220000
Cyprus	0.72	0.56	0.68	0.30	23132450331
Czech Republic	0.57	0.57	0.58	0.19	207016000000
Germany	0.52	0.68	0.79	0.46	3412010000000
Djibouti	0.53	0.62	0.78	0.45	1128611700
Denmark	0.75	0.69	0.86	0.87	319812000000
Dominican Republic	0.33	0.62	0.51	0.28	53042943731
Algeria	0.35	0.63	0.71	0.42	161207000000
Ecuador	0.25	0.62	0.46	0.27	69555367000
Egypt, Arab Rep.	0.28	0.53	0.74	0.32	NA
Spain	0.62	0.72	0.70	0.25	1431590000000
Estonia	0.34	0.55	0.65	0.42	19479012423
Ethiopia	0.15	0.38	0.50	0.16	29933790334
Finland	0.75	0.70	0.81	0.62	247800000000
Fiji	NA	NA	0.98	NA	3140508836
France	0.64	0.70	0.73	0.45	2646840000000
Gabon	NA	NA	NA	NA	14569527125
United Kingdom	0.59	0.64	0.75	0.50	2407930000000
Georgia	0.47	0.71	0.75	0.69	11638536834
Ghana	0.67	0.50	0.68	0.17	32174839713
Guinea	0.16	0.27	0.54	0.36	4735956476
Greece	0.50	0.53	0.61	0.11	299598000000
Guatemala	0.30	0.69	0.51	0.20	41337958252
Guyana	0.29	0.69	0.60	0.39	2259288396
Hong Kong SAR, China	0.64	0.76	0.88	0.85	NA
Honduras	0.31	0.59	0.52	0.21	15839344592
Croatia	0.38	0.65	0.66	0.11	59643818182
Haiti	0.19	0.23	0.49	0.28	6622541529
Hungary	0.52	0.53	0.66	0.07	129586000000
Indonesia	0.49	0.68	0.68	0.11	709191000000
India	0.46	0.63	0.74	0.23	1708460000000
Ireland	0.64	0.66	0.78	0.37	218435000000
Iran, Islamic Rep.	0.50	0.53	0.67	0.23	NA
Iraq	0.25	0.46	0.69	0.26	138517000000
Iceland	0.84	0.72	0.75	0.42	13261035517
Israel	0.50	0.58	0.67	0.13	232908000000
Italy	0.52	0.54	0.69	0.24	2126620000000
Jamaica	0.15	0.61	0.57	0.13	13230844040
Jordan	0.42	0.65	0.81	0.43	26425379437
Japan	0.52	0.65	0.77	0.32	5495390000000
Kazakhstan	0.42	0.50	0.62	0.42	148047000000
Kenya	0.15	0.46	0.56	0.07	40000138831
Kyrgyz Republic	0.14	0.58	0.58	0.14	4794357795
Cambodia	0.89	0.87	0.72	0.26	11242266334
Korea, Rep.	0.46	0.68	0.61	0.36	NA
Kosovo	0.38	0.58	0.71	0.09	5830320265
Kuwait	0.61	0.69	0.84	NA	115429000000
Lao PDR	0.81	0.72	0.82	0.54	7181441152
Lebanon	0.25	0.61	0.59	0.09	38009950249
Liberia	0.43	0.23	0.53	0.17	1292696476
Libya	NA	0.52	0.98	NA	74755288917
