Country	GWP13VA	GWP13GE	GWP13RL	GWP13CC	GDP
Afghanistan	0.18	0.48	0.54	0.18	20309671015
Angola	0.27	0.43	0.63	0.13	124178000000
Albania	0.21	0.50	0.52	0.28	12923240278
United Arab Emirates	NA	0.80	0.90	NA	402340000000
Argentina	0.48	0.54	0.56	0.23	609889000000
Armenia	0.14	0.49	0.61	0.23	10432169571
Australia	0.63	0.60	0.78	0.59	1560370000000
Austria	0.57	0.76	0.81	0.38	428322000000
Azerbaijan	0.47	0.58	0.69	0.49	73560484385
Burundi	0.83	0.45	0.74	0.32	2714507031
Belgium	0.68	0.70	0.74	0.52	524806000000
Benin	0.45	0.34	0.71	0.21	8307222087
Burkina Faso	0.54	0.43	0.74	0.27	11582556068
Bangladesh	0.67	0.70	0.77	0.38	149990000000
Bulgaria	0.14	0.43	0.55	0.21	54479873100
Bahrain	NA	0.66	0.73	0.70	32890110533
Bahamas, The	NA	NA	NA	NA	NA
Bosnia and Herzegovina	0.23	0.40	0.62	0.09	17851326454
Belarus	0.38	0.55	0.64	0.61	71709513654
Belize	0.25	0.43	0.50	0.31	1624294250
Bolivia	0.32	0.61	0.44	0.24	30601157742
Brazil	0.17	0.45	0.57	0.31	2245670000000
Bhutan	0.84	0.86	0.87	0.50	1781261413
Botswana	0.67	0.47	0.61	0.26	14784707345
Central African Republic	0.57	0.24	0.73	0.26	1538175744
Canada	0.59	0.64	0.77	0.59	1826770000000
Switzerland	0.82	0.81	0.87	0.77	685434000000
Chile	0.35	0.60	0.57	0.37	277199000000
China	NA	0.68	0.73	NA	9240270000000
Cote d'Ivoire	0.40	0.36	0.66	0.45	31062026533
Cameroon	0.36	0.42	0.62	0.16	29567504655
Congo, Rep.	0.37	0.48	0.60	0.34	NA
Colombia	0.16	0.57	0.55	0.13	378415000000
Comoros	0.24	0.37	0.63	0.29	598925863
Costa Rica	0.46	0.68	0.60	0.16	49621089476
Cuba	0.51	0.32	0.69	NA	NA
Cyprus	0.59	0.63	0.60	0.18	21911444503
Czech Republic	0.51	0.56	0.66	0.13	208796000000
Germany	0.63	0.69	0.78	0.53	3730260000000
Djibouti	0.58	0.62	0.73	0.57	1456344495
Denmark	0.61	0.70	0.85	0.86	335878000000
Dominican Republic	0.38	0.69	0.53	0.33	61163676805
Algeria	0.34	0.63	0.76	0.32	210183000000
Ecuador	0.47	0.69	0.60	0.39	94472679000
Egypt, Arab Rep.	0.34	0.34	0.58	0.12	NA
Spain	0.45	0.63	0.60	0.11	1393040000000
Estonia	0.32	0.55	0.68	0.41	24880264958
Ethiopia	0.56	0.56	0.66	0.36	47525186490
Finland	0.85	0.67	0.81	0.72	267329000000
Fiji	NA	NA	NA	NA	3855017107
France	0.55	0.71	0.73	0.41	2806430000000
Gabon	0.20	0.33	0.57	0.24	19343506599
United Kingdom	0.61	0.67	0.78	0.46	2678450000000
Georgia	0.51	0.68	0.77	0.76	16140047012
Ghana	0.42	0.38	0.64	0.18	48137027487
Guinea	0.37	0.18	0.58	0.20	6144131903
Greece	0.36	0.46	0.60	0.09	242230000000
Guatemala	0.41	0.65	0.55	0.24	53796709475
Guyana	0.27	0.69	0.60	0.39	2990128821
Hong Kong SAR, China	0.48	0.70	0.85	0.70	NA
Honduras	0.23	0.55	0.47	0.11	18550026035
Croatia	0.40	0.56	0.65	0.20	57868674298
Haiti	0.14	0.43	0.52	0.42	8459326660
Hungary	0.40	0.49	0.65	0.31	133424000000
Indonesia	0.55	0.71	0.74	0.09	868346000000
India	0.47	0.71	0.73	0.25	1876800000000
Ireland	0.55	0.68	0.73	0.42	232077000000
Iran, Islamic Rep.	0.50	0.61	0.70	0.23	NA
Iraq	0.42	0.50	0.66	0.34	229327000000
Iceland	0.91	0.75	0.82	0.41	15330057867
Israel	0.55	0.60	0.69	0.26	290551000000
Italy	0.40	0.59	0.70	0.09	2149480000000
Jamaica	0.29	0.60	0.54	0.14	14362262585
Jordan	0.42	0.66	0.85	0.43	33678500148
Japan	0.58	0.64	0.76	0.51	4919560000000
Kazakhstan	0.44	0.47	0.60	0.35	231876000000
Kenya	0.47	0.46	0.62	0.14	55243056201
Kyrgyz Republic	0.23	0.52	0.55	0.22	7226303261
Cambodia	0.81	0.79	0.70	0.40	15238689686
Korea, Rep.	0.38	0.69	0.60	0.23	NA
Kosovo	0.22	0.60	0.66	0.16	7071959241
Kuwait	0.61	0.53	0.84	NA	175831000000
Lao PDR	0.90	0.64	0.91	0.71	11242526454
Lebanon	0.14	0.55	0.62	0.07	44352418120
Liberia	0.35	0.27	0.50	0.27	1950960138
Libya	0.35	0.38	0.98	0.32	74199528672
Sri Lanka	0.41	0.68	0.77	0.41	67182015336
Lesotho	0.38	0.30	0.67	0.23	2334989648
Lithuania	0.26	0.48	0.59	0.10	45931968474
Luxembourg	0.76	0.73	0.71	0.77	60130847624
Latvia	0.39	0.54	0.57	0.27	30956691628
Morocco	0.25	0.44	0.63	0.33	103836000000
Moldova	0.28	0.44	0.50	0.17	7969618966
Madagascar	0.41	0.42	0.68	0.22	10613494031
Maldives	0.22	0.41	0.49	0.14	2299843167
Mexico	0.29	0.62	0.58	0.38	1260910000000
Macedonia, FYR	0.33	0.55	0.64	0.43	NA
Mali	0.57	0.33	0.63	0.20	10942727310
Malta	0.69	0.53	0.64	0.60	9642326075
Myanmar	NA	0.64	0.77	NA	NA
Montenegro	0.28	0.46	0.68	0.54	4416083090
Mongolia	0.19	0.41	0.51	0.25	11516409581
Mozambique	0.49	0.49	0.61	0.27	15630302814
Mauritania	0.29	0.38	0.60	0.36	4158182904
Mauritius	0.68	0.72	0.77	0.20	11929250814
Malawi	0.46	0.53	0.66	0.14	3705386790
Malaysia	0.69	0.69	0.73	0.36	313159000000
Namibia	0.73	0.65	0.75	0.16	13113069777
Niger	0.51	0.39	0.79	0.34	7407418428
Nigeria	0.18	0.46	0.51	0.09	521803000000
Nicaragua	0.48	0.71	0.62	0.48	11255608410
Netherlands	0.82	0.77	0.73	0.57	853539000000
Norway	0.90	0.61	0.84	0.76	512580000000
Nepal	0.28	0.67	0.74	0.26	19294348174
New Zealand	0.74	0.65	0.75	0.72	185788000000
Oman	NA	0.72	NA	NA	79655917417
Pakistan	0.35	0.51	0.66	0.19	232287000000
Panama	0.47	0.64	0.66	0.20	42648100000
Peru	0.25	0.49	0.42	0.14	202350000000
Philippines	0.56	0.74	0.76	0.30	272067000000
Poland	0.46	0.51	0.64	0.32	525866000000
Puerto Rico	0.22	0.42	0.64	0.12	103135000000
Portugal	0.48	0.66	0.65	0.14	227324000000
Paraguay	0.26	0.51	0.48	0.11	29009411738
Qatar	0.64	0.71	0.90	0.92	203235000000
Romania	0.30	0.54	0.60	0.23	189638000000
Russian Federation	0.23	0.42	0.53	0.18	2096780000000
Rwanda	0.85	0.63	0.83	0.91	7521261791
Saudi Arabia	0.48	0.54	0.83	0.68	748450000000
Sudan	0.35	0.42	0.73	0.38	66565889417
Senegal	0.79	0.35	0.73	0.20	14791699009
Singapore	0.76	0.83	0.91	0.95	297941000000
Sierra Leone	0.53	0.23	0.44	0.23	4136280752
El Salvador	0.29	0.71	0.54	0.26	24259100000
Somalia	0.79	0.46	0.73	0.57	NA
Serbia	0.33	0.42	0.58	0.26	45519650911
Suriname	0.73	0.79	0.76	0.34	5298787879
Slovak Republic	0.47	0.45	0.58	0.22	97707323420
Slovenia	0.53	0.64	0.57	0.17	47987303638
Sweden	0.86	0.67	0.78	0.82	579680000000
Swaziland	0.30	0.62	0.63	0.08	3791304348
Syrian Arab Republic	0.55	0.25	0.48	0.38	NA
Chad	0.10	0.40	0.44	0.12	13513552425
Togo	0.45	0.27	0.62	0.31	4338575824
Thailand	0.35	0.81	0.73	0.20	387252000000
Tajikistan	0.63	0.48	0.79	0.52	8508103456
Turkmenistan	NA	0.68	0.82	NA	41850877193
Trinidad and Tobago	0.33	0.60	0.53	0.14	24640839008
Tunisia	0.41	0.45	0.72	0.18	46993598818
Turkey	0.48	0.61	0.71	0.50	822135000000
Taiwan, China	0.29	0.73	0.59	0.21	NA
Tanzania	0.36	0.38	0.59	0.12	33225037490
Uganda	0.32	0.46	0.52	0.12	21493615478
Ukraine	0.18	0.41	0.45	0.17	177431000000
Uruguay	0.71	0.51	0.65	0.57	55707944622
United States	0.39	0.63	0.69	0.21	16768100000000
Uzbekistan	0.62	0.76	0.98	0.65	56795656325
Venezuela, RB	0.37	0.53	0.46	0.25	NA
Vietnam	0.70	0.72	0.78	0.62	171390000000
West Bank and Gaza	0.42	0.63	0.62	0.28	NA
Yemen, Rep.	0.30	0.30	0.47	0.21	NA
South Africa	0.50	0.58	0.59	0.19	350630000000
Congo, Dem. Rep.	0.13	0.30	0.47	0.23	NA
Zambia	0.37	0.50	0.63	0.28	26820870559
Zimbabwe	0.33	0.54	0.63	0.29	13490000000
