Country	GWP08VA	GWP08GE	GWP08RL	GWP08CC	GDP
Afghanistan	0.54	0.56	0.62	0.30	10190534637
Angola	0.37	0.41	0.58	0.31	84178084135
Albania	0.24	0.51	0.60	0.27	12881353508
United Arab Emirates	NA	0.77	0.90	NA	315475000000
Argentina	0.30	0.48	0.50	0.21	406004000000
Armenia	0.16	0.55	0.64	0.23	11662040714
Australia	0.66	0.60	0.75	0.66	1055030000000
Austria	0.57	0.71	0.81	0.47	427627000000
Azerbaijan	0.39	0.50	0.62	0.27	48852482960
Burundi	0.56	0.34	0.67	0.18	1611634286
Belgium	0.70	0.73	0.73	0.53	520109000000
Benin	0.42	0.34	0.63	0.37	6633463907
Burkina Faso	0.31	0.28	0.66	0.31	8350710389
Bangladesh	0.63	0.76	0.82	0.25	91631278239
Bulgaria	0.37	0.40	0.57	0.19	53316401915
Bahrain	NA	NA	NA	NA	25711151182
Bahamas, The	NA	NA	NA	NA	NA
Bosnia and Herzegovina	0.41	0.53	0.65	0.19	18711890354
Belarus	0.38	0.59	0.61	0.60	60763483146
Belize	0.25	0.43	0.50	0.31	1368625150
Bolivia	0.36	0.67	0.46	0.36	16674324634
Brazil	0.25	0.58	0.55	0.32	1653510000000
Bhutan	NA	NA	NA	NA	1258193519
Botswana	0.93	0.50	0.76	0.31	11113042240
Central African Republic	0.37	0.25	0.72	0.32	1985370255
Canada	0.67	0.65	0.79	0.59	1542560000000
Switzerland	0.80	0.81	0.81	0.73	551552000000
Chile	0.40	0.59	0.58	0.36	179858000000
China	NA	0.70	NA	NA	4521830000000
Cote d'Ivoire	NA	NA	NA	NA	24224905504
Cameroon	0.12	0.39	0.58	0.09	23322256428
Congo, Rep.	NA	NA	NA	NA	NA
Colombia	0.33	0.64	0.61	0.30	244057000000
Comoros	NA	NA	NA	NA	517477660
Costa Rica	0.51	0.68	0.56	0.26	29831167681
Cuba	0.51	0.32	0.69	NA	60806200000
Cyprus	0.77	0.55	0.75	0.52	25321517504
Czech Republic	0.51	0.58	0.57	0.21	235205000000
Germany	0.43	0.67	0.73	0.43	3747060000000
Djibouti	0.46	0.70	0.77	0.43	999105339
Denmark	0.92	0.69	0.87	0.82	352589000000
Dominican Republic	0.35	0.56	0.53	0.30	48143840500
Algeria	0.30	0.57	0.65	0.31	171000000000
Ecuador	0.26	0.67	0.46	0.33	61762635000
Egypt, Arab Rep.	NA	0.60	0.88	NA	NA
Spain	0.75	0.70	0.67	0.53	1635050000000
Estonia	0.38	0.49	0.60	0.51	24185794095
Ethiopia	0.15	0.38	0.50	0.21	27066912635
Finland	0.90	0.65	0.85	0.87	283753000000
Fiji	NA	NA	NA	NA	3523185920
France	0.66	0.67	0.77	0.44	2923570000000
Gabon	NA	NA	NA	NA	15685389827
United Kingdom	0.57	0.64	0.71	0.46	2791860000000
Georgia	0.35	0.64	0.68	0.64	12799337248
Ghana	0.67	0.65	0.69	0.26	28528014621
Guinea	0.16	0.27	0.54	0.36	4515824643
Greece	0.62	0.49	0.65	0.31	354629000000
Guatemala	0.35	0.66	0.51	0.26	39136507937
Guyana	0.29	0.69	0.60	0.39	1922598121
Hong Kong SAR, China	0.65	0.72	0.89	0.79	NA
Honduras	0.25	0.66	0.54	0.18	13789720387
Croatia	0.38	0.62	0.63	0.24	70461454280
Haiti	0.32	0.36	0.55	0.31	6548530572
Hungary	0.41	0.47	0.69	0.26	156579000000
Indonesia	0.54	0.63	0.74	0.09	510245000000
India	0.52	0.66	0.77	0.19	1224100000000
Ireland	0.71	0.60	0.78	0.45	273732000000
Iran, Islamic Rep.	0.50	0.53	0.67	0.23	NA
Iraq	0.27	0.38	0.66	0.16	131612000000
Iceland	NA	NA	NA	NA	17599245766
Israel	0.37	0.58	0.65	0.14	213921000000
Italy	0.52	0.51	0.66	0.19	2391960000000
Jamaica	0.15	0.61	0.57	0.13	13676837630
Jordan	0.50	0.61	0.87	0.64	21971835283
Japan	0.46	0.62	0.74	0.20	4849180000000
Kazakhstan	0.36	0.48	0.56	0.34	133442000000
Kenya	0.22	0.46	0.58	0.09	35895153328
Kyrgyz Republic	0.28	0.52	0.57	0.24	5139957785
Cambodia	0.72	0.78	0.70	0.26	10351829066
Korea, Rep.	0.40	0.64	0.58	0.31	NA
Kosovo	0.44	0.50	0.72	0.16	5687488209
Kuwait	0.61	0.83	0.84	NA	147402000000
Lao PDR	0.81	0.72	0.82	0.54	5443930125
Lebanon	0.21	0.61	0.64	0.13	28829850746
Liberia	0.45	0.19	0.46	0.16	850040459
Libya	NA	NA	NA	NA	93167701863
Sri Lanka	0.36	0.64	0.81	0.29	40715240469
Lesotho	NA	NA	NA	NA	1630667593
Lithuania	0.18	0.46	0.55	0.12	47438363056
Luxembourg	NA	NA	NA	NA	54963951912
Latvia	0.35	0.46	0.53	0.25	33669367720
Morocco	0.25	0.46	0.84	0.19	88882967742
Moldova	0.31	0.46	0.51	0.23	6054806101
Madagascar	0.56	0.52	0.77	0.26	9413002737
Maldives	NA	NA	NA	NA	1891633531
Mexico	0.26	0.67	0.55	0.22	1099070000000
Macedonia, FYR	0.32	0.55	0.59	0.26	NA
Mali	0.28	0.20	0.61	0.09	8737687353
Malta	NA	NA	NA	NA	8554293727
Myanmar	NA	0.75	0.95	NA	NA
Montenegro	0.43	0.44	0.61	0.51	4538345345
Mongolia	0.21	0.51	0.55	0.22	5623236708
Mozambique	0.44	0.68	0.58	0.26	11026247458
Mauritania	0.56	0.34	0.65	0.52	3585284792
Mauritius	NA	NA	NA	NA	9641077098
Malawi	0.41	0.60	0.75	0.35	4276769712
Malaysia	0.50	0.80	0.76	0.38	230989000000
Namibia	0.73	0.65	0.75	0.16	8486515516
Niger	0.46	0.26	0.71	0.36	5403364454
Nigeria	0.22	0.47	0.58	0.15	208065000000
Nicaragua	0.36	0.65	0.57	0.28	8491388728
Netherlands	0.86	0.69	0.77	0.67	931328000000
Norway	0.70	0.56	0.84	0.67	453885000000
Nepal	0.26	0.64	0.67	0.16	12545438605
New Zealand	0.63	0.62	0.71	0.68	130459000000
Oman	NA	NA	NA	NA	60905332090
Pakistan	0.33	0.63	0.60	0.32	170078000000
Panama	0.36	0.60	0.54	0.14	24884000000
Peru	0.26	0.50	0.43	0.14	121572000000
Philippines	0.41	0.72	0.77	0.26	173603000000
Poland	0.48	0.52	0.63	0.24	530185000000
Puerto Rico	0.22	0.42	0.64	0.12	93639316000
Portugal	0.59	0.69	0.66	0.38	262017000000
Paraguay	0.41	0.53	0.52	0.13	18504128632
Qatar	NA	NA	NA	NA	115270000000
Romania	0.36	0.53	0.62	0.13	204339000000
Russian Federation	0.32	0.45	0.49	0.26	1660840000000
Rwanda	0.79	0.60	0.86	0.78	4796573943
Saudi Arabia	0.32	0.68	0.84	0.58	519797000000
Sudan	0.35	0.55	0.76	0.38	54527549913
Senegal	0.32	0.41	0.70	0.16	13386346543
