Country	GWP08VA	GWP08GE	GWP08RL	GWP08CC	GDP
Singapore	0.81	0.94	0.87	0.97	192231000000
Sierra Leone	0.65	0.24	0.64	0.14	2505620416
El Salvador	0.32	0.68	0.60	0.35	21431000000
Somalia	NA	NA	NA	NA	NA
Serbia	0.57	0.52	0.61	0.29	49259526053
Suriname	NA	NA	NA	NA	3532969035
Slovak Republic	0.44	0.41	0.57	0.17	99832535521
Slovenia	0.74	0.62	0.64	0.57	55589849128
Sweden	0.87	0.62	0.75	0.80	513966000000
Swaziland	NA	NA	NA	NA	3019770680
Syrian Arab Republic	NA	NA	NA	NA	NA
Chad	0.12	0.21	0.38	0.18	10351933632
Togo	0.19	0.36	0.55	0.21	3163416556
Thailand	0.45	0.82	0.78	0.18	272578000000
Tajikistan	0.36	0.52	0.79	0.68	5161336170
Turkmenistan	NA	NA	NA	NA	19271523179
Trinidad and Tobago	0.28	0.58	0.47	0.18	28165793618
Tunisia	0.88	0.72	0.90	0.55	44856586316
Turkey	0.47	0.57	0.76	0.43	730337000000
Taiwan, China	0.17	0.65	0.57	0.20	NA
Tanzania	0.61	0.43	0.76	0.41	20715086119
Uganda	0.27	0.44	0.63	0.12	14239026768
Ukraine	0.15	0.44	0.47	0.18	179992000000
Uruguay	0.75	0.69	0.62	0.57	30366148181
United States	0.47	0.61	0.79	0.28	14718600000000
Uzbekistan	NA	0.72	0.97	0.65	27934030937
Venezuela, RB	0.64	0.66	0.60	0.46	NA
Vietnam	0.77	0.70	0.86	0.41	99130304099
West Bank and Gaza	0.42	0.51	0.57	0.36	6673500000
Yemen, Rep.	0.35	0.49	0.55	0.27	NA
South Africa	0.74	0.66	0.73	0.12	273142000000
Congo, Dem. Rep.	0.24	0.21	0.55	0.15	NA
Zambia	0.35	0.54	0.69	0.14	17911046609
Zimbabwe	0.10	0.28	0.49	0.06	4415702800
